,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,257477,0.127,0.472,0.047,54.92,51.76,46.68,0.095,0.592,0.4431,0.03053865,0.028519052,0.027583046,0.02906279,0,0.000869981,0.029528851,0.02881034,0.027629652,0.02916377,0.009476575,0.017539431,0.009752327,19.08,88.01,0.378,87,1.94E-05,0.001238946,0.000147586,0.005177161,0.000866097,0.000135934,0.001052521,0.000260217,5.83E-05,0.000182541,-0.117983161
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,197632,0.069,0.288,0.024,34.43,27.24,27.37,0.0771,0.31,0.2348,0.025147749,0.023913131,0.022379979,0.023402081,0,5.57E-05,0.025011132,0.022789832,0.022385039,0.022511537,0.003187743,0.014284124,0.014906493,46.2,82.97,0.482,77,5.06E-05,0,6.07E-05,0.001052461,0.001786148,0.000106258,0.002337678,8.10E-05,0.000126498,0.000111318,-0.155011462
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,268613,0.053,0.229,0.018,34.46,27.01,27.33,0.0852,0.429,0.1112,0.024317513,0.023096425,0.022348137,0.021279685,0,0.000260598,0.022891669,0.023569224,0.022999631,0.021920011,0.014504138,0.003179295,0.013443132,59.32,90.87,0.478,78,0,0.000215924,1.49E-05,0.001913534,0.003190464,0.000134022,0.000658941,0.000234538,0.00022337,0.000398343,-0.159718289
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,250898,0.123,0.457,0.046,45.15,45.38,39.58,0.0814,0.592,0.3157,0.025432646,0.024232955,0.022702453,0.022754267,0,0.001335204,0.023061164,0.024137299,0.022467297,0.022694481,0.008589148,0.015420609,0.008126809,25.59,89.66,0.416,88,0.000282984,0,3.19E-05,0.002279811,0.000282984,6.38E-05,0.000653652,2.39E-05,1.59E-05,3.99E-06,-0.154263388
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,195159,0.162,0.568,0.063,54.97,48.05,45.32,0.1281,0.632,0.3291,0.026757669,0.024636322,0.022176789,0.020198915,0,0.00105555,0.022812169,0.026747421,0.024554338,0.023524408,0.020644705,0.004401539,0.015172244,14.03,58.23,0.365,91,5.12E-06,5.12E-06,2.56E-05,0.001655061,0.000312566,5.12E-05,0.000389426,8.20E-05,3.07E-05,4.61E-05,-0.145309605
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,134912,0.199,0.641,0.082,55.48,41.17,43.28,0.1379,0.508,0.3153,0.033696039,0.031161053,0.028640892,0.028077562,0,0.003268797,0.026172616,0.033140121,0.028611243,0.028863259,0.016877668,0.008561136,0.016284689,10.57,86.82,0.364,95,0,5.19E-05,6.67E-05,0.000978416,0.000163069,0,9.64E-05,1.48E-05,0,0,-0.106622253
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,491313,0.066,0.264,0.024,43.69,24.83,32.1,0.0784,0.448,0.0487,0.024467091,0.020956091,0.019665671,0.018774183,0.013260386,0.000321587,0.019289129,0.021401835,0.020347518,0.019466206,0.011469267,0.010803704,0.009647618,35.97,90.56,0.475,99,2.04E-06,2.44E-05,2.24E-05,0.002141201,0.000111945,4.07E-06,0.000199466,2.04E-06,2.04E-06,1.42E-05,-0.162725731
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,687708,0.072,0.299,0.025,56.75,21.78,40.09,0.0624,0.396,0.0396,0.022891983,0.02218965,0.02069483,0.021480047,0.003793761,0.00036498,0.020915854,0.022471747,0.021139786,0.020472352,0.01477662,0.010623695,0.012303187,19.06,88.58,0.457,104,8.72E-06,0,9.60E-05,0.001670767,0.000216662,2.33E-05,6.98E-05,3.34E-05,1.16E-05,1.74E-05,-0.159482351
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,426576,0.071,0.287,0.025,43.46,26.37,32.3,0.0884,0.506,0.0214,0.019820618,0.019478358,0.019091557,0.018142136,0.017169273,1.17E-05,0.020305877,0.02006442,0.019686996,0.018946214,0.015235269,0.006256798,0.013952965,39.16,82.18,0.466,93,0,0.000616537,7.03E-05,0.011854863,0.000192228,7.03E-06,0.00018754,0.00034226,9.38E-06,7.03E-06,-0.164029803
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,304651,0.029,0.125,0.01,21.87,22.58,19.43,0.0331,0.269,0.1825,0.013766572,0.013517106,0.013625427,0.01342848,0.008232371,0.000741832,0.019113674,0.013546648,0.013415351,0.012758862,0.006952217,0.003289009,0.005832904,87.1,91.66,0.573,103,6.56E-06,0,4.92E-05,0.000781222,0.00029542,8.53E-05,0.000361069,0.000361069,1.31E-05,5.58E-05,-0.217428273
