,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,0.047,54.92,0.592,19.08,87,1.94E-05,0.001238946,0.000147586,0.005177161,0.000866097,0.000135934,0.001052521,0.000260217,5.83E-05,0.000182541,0.393517063,-0.103672667
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,0.024,34.43,0.31,46.2,77,5.06E-05,0,6.07E-05,0.001052461,0.001786148,0.000106258,0.002337678,8.10E-05,0.000126498,0.000111318,0.227857246,-0.141603354
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,0.018,34.46,0.429,59.32,78,0,0.000215924,1.49E-05,0.001913534,0.003190464,0.000134022,0.000658941,0.000234538,0.00022337,0.000398343,0.244929155,-0.146424887
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,0.046,45.15,0.592,25.59,88,0.000282984,0,3.19E-05,0.002279811,0.000282984,6.38E-05,0.000653652,2.39E-05,1.59E-05,3.99E-06,0.413278741,-0.140837049
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,0.063,54.97,0.632,14.03,91,5.12E-06,5.12E-06,2.56E-05,0.001655061,0.000312566,5.12E-05,0.000389426,8.20E-05,3.07E-05,4.61E-05,0.553706384,-0.131665061
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,0.082,55.48,0.508,10.57,95,0,5.19E-05,6.67E-05,0.000978416,0.000163069,0,9.64E-05,1.48E-05,0,0,0.475744581,-0.09203489
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,0.024,43.69,0.448,35.97,99,2.04E-06,2.44E-05,2.24E-05,0.002141201,0.000111945,4.07E-06,0.000199466,2.04E-06,2.04E-06,1.42E-05,0.131438795,-0.149505621
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,0.025,56.75,0.396,19.06,104,8.72E-06,0,9.60E-05,0.001670767,0.000216662,2.33E-05,6.98E-05,3.34E-05,1.16E-05,1.74E-05,0.191967912,-0.146183199
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,0.025,43.46,0.506,39.16,93,0,0.000616537,7.03E-05,0.011854863,0.000192228,7.03E-06,0.00018754,0.00034226,9.38E-06,7.03E-06,0.322064209,-0.150841473
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,0.01,21.87,0.269,87.1,103,6.56E-06,0,4.92E-05,0.000781222,0.00029542,8.53E-05,0.000361069,0.000361069,1.31E-05,5.58E-05,0.285611327,-0.205541275
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,0.014,36.91,0.455,36.8,89,0,5.48E-06,3.84E-05,0.000652201,0.000169901,5.48E-05,0.000175382,0.000411051,2.19E-05,3.29E-05,0.265266648,-0.165732417
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,0.005,27.77,0.42,83.08,93,0.000206902,0.000155177,0.00016897,0.001675908,0.00078278,0.000677605,0.001432798,0.000177591,0.000212075,0.000324147,0.166334049,-0.175953225
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,0.045,42.74,0.486,43.08,88,0.000781173,6.33E-05,0.000126677,0.007670978,0.003624361,0.00055597,0.000865624,7.74E-05,0.000218165,0.000844511,0.397759877,-0.152380375
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,0.031,47.7,0.456,19.86,94,0,1.15E-05,3.44E-05,0.002483096,0.000744929,0,0.000225389,9.17E-05,0,7.64E-06,0.350235673,-0.124396667
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,0.02,37.59,0.393,44.11,90,1.45E-05,1.99E-05,4.52E-05,0.002187907,0.001011613,0.000215352,0.000908461,0.000255165,7.24E-06,4.71E-05,0.212507249,-0.131400618
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,0.059,41.8,0.478,16.43,91,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,0.012,46.74,0.263,51.43,89,1.79E-05,1.49E-05,1.19E-05,0.002800037,0.000595119,0.000246975,0.000853996,0.000639753,3.87E-05,6.55E-05,0.19051142,-0.134119652
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,0.008,31.41,0.449,48.64,88,0,0,0,0.000930164,0.000116271,3.06E-05,0.000165227,3.67E-05,6.12E-06,0,0.341106004,-0.158844496
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,0.014,58.11,0.436,23.87,101,8.61E-05,0,0.000133814,0.000907553,0.000177536,1.19E-05,0.000278228,9.27E-06,1.32E-05,4.37E-05,0.237640552,-0.153565606
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,0.018,46.4,0.44,48.13,87,6.97E-05,5.36E-06,0,0.00073436,0.000879088,0.00055211,0.000954132,0.001323992,0.000112566,0.000230493,0.227302681,-0.162856687
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,0.04,55.78,0.541,17.64,99,5.45E-05,2.72E-05,0.000163488,0.00599455,0.00027248,0.000299728,0.001307902,0.000190736,2.72E-05,2.72E-05,0.33962459,-0.178130039
